x,y
1.1864172989,4.7008459518
-1.1171143667,-4.3418014453
-2.2728174068,6.9069965953
-1.0584508703,0.1912841722
2.5872711923,19.3969689799
1.7380038796,7.3132654693
-2.9398852562,13.8196577778
-1.8064006969,5.5076659577
-1.2413178394,4.4076693809
2.6604942698,13.6504305016
-0.5793776685,1.1540349062
-1.9091034206,5.8931127358
2.1623274741,14.1487805535
2.4424208813,16.2233244836
-1.1895121474,-0.4577805355
-0.8688113746,1.9243965302
1.5213142570,11.6192024108
-1.3899473203,6.6082216553
1.7365344221,7.6190529751
-0.2949606339,0.9676287550
0.8824038726,10.6073222604
2.3709630975,16.7316613835
-2.8240943193,5.5613427708
-0.9305205446,10.4527650282
1.6222634283,11.2868757380
0.6072414206,5.2036620248
-2.3321485545,6.6118122824
2.3409800014,10.1835332872
2.8204148904,16.0280764561
-2.9170949600,9.4635712295
-0.3859195048,-1.3501280238
-0.9069538664,-4.0282936320
2.3996691680,19.3507937752
-2.7510306869,15.6698438416
2.1301911016,14.3571091296
-1.6591933844,5.5459201011
-2.4636889398,6.9087987705
-0.2125656916,1.1492954644
-1.2352519473,3.5932813916
0.3569959305,0.4847229467
-2.9671078715,13.6223501873
2.9680776152,19.5740310734
-0.5814222823,1.6280498478
0.8838017186,5.8383904356
-1.1314359711,3.7653892170
1.7571011445,13.0868313343
2.0365315607,10.7385317042
2.7021198542,13.7406793330
0.7350612445,5.7920537451
-1.9346618572,10.8104568597
-2.1583033057,13.8250359769
-2.6628497151,13.6522165877
0.8762047908,0.8390702245
2.5180675505,13.0089867768
-2.8780596946,6.7013679809
-0.3327445566,3.2070660501
2.4331021708,14.2680914963
1.7168766494,6.0337684297
-2.4289050522,14.5498277449
0.2571208039,6.6627166548
2.9470967512,18.3553562286
-0.6470496177,6.0697952121
1.1031205642,-0.8228443934
-1.2485897445,5.6570114800
-0.2706710587,3.5971700152
-2.6834653274,18.6724478133
0.6667244678,9.4000304360
1.4253179848,10.2981528707
-0.5229095898,2.0633874160
-2.1894986401,6.4284820011
0.7347699982,6.2715993212
1.5633020492,8.2492290719
0.3371685797,1.5963887768
0.6343742732,9.2584225497
1.3416096836,6.0349141837
-1.6350756378,-0.6890497501
0.9798054449,7.2252535125
0.1068492741,1.5681797720
0.4139766123,4.6681640458
0.1096486653,6.4646065681
1.1764904878,2.3566555677
-1.6545881408,-1.0958955975
2.5948958722,12.8084857121
0.0293918833,5.8743991550
1.4275182289,14.0838924081
2.1238597964,17.9299980269
-2.8066890867,10.0720501900
2.8395027357,18.4702338480
-2.9509633611,14.0355162795
0.9106434693,2.7110090237
-1.3615349735,4.2210426441
1.0156520593,5.1686387679
2.8763740063,22.8589509948
-1.8421246397,4.3862334648
2.9870060540,26.5902246755
1.6779352205,12.2297409467
-0.7123305953,3.5012448343
2.1343607880,6.7385748964
-1.7327571375,6.1804651366
0.0414686292,3.3878256744
-0.2451693231,7.7150347301
-1.5768143677,6.2057985699
2.8367712447,26.2576317605
1.3117996982,6.9227387038
2.3328411740,8.2431026280
-0.3129496882,4.8206867695
1.4428222896,3.2162916444
0.3466527540,4.0509701006
1.8213517148,7.7697003957
0.2559238445,7.5776561868
-1.2638375020,0.8919048759
-1.5864382492,7.7310617184
-1.8133501052,-0.1916766093
0.8024550834,8.5774284953
-2.7146788947,6.9049106393
0.3067870967,4.6733918855
-1.6775255570,9.1592491216
-0.2660488152,1.2572950056
1.0190107196,5.4955000062
1.9118625537,15.4372872794
